journal,issn,nlm_id,categories,group
The Journal of manual & manipulative therapy,2042-6186,9433812,Physical and Rehabilitation Medicine,general
The Journal of orthopaedic and sports physical therapy,1938-1344,7908150,Physical and Rehabilitation Medicine,general
Topics in spinal cord injury rehabilitation,1945-5763,9515174,Physical and Rehabilitation Medicine,general
Topics in stroke rehabilitation,1945-5119,9439750,Physical and Rehabilitation Medicine,general
Torture : quarterly journal on rehabilitation of torture victims and prevention of torture,1997-3322,9309086,Physical and Rehabilitation Medicine,general
Transactions of the American Clinical and Climatological Association,0065-7778,7507559,Physical and Rehabilitation Medicine,general
"Voprosy kurortologii, fizioterapii, i lechebnoĭ fizicheskoĭ kultury",2309-1355,2984868R,Physical and Rehabilitation Medicine,general
Advances in rheumatology,2523-3106,101734172,Rheumatology,general
Annals of the rheumatic diseases,1468-2060,0372355,Rheumatology,general
ARP rheumatology,2795-4552,9918402287906676,Rheumatology,general
Arthritis & rheumatology,2326-5205,101623795,Rheumatology,general
Arthritis care & research,2151-4658,101518086,Rheumatology,general
Arthritis research & therapy,1478-6362,101154438,Rheumatology,general
Best practice & research. Clinical rheumatology,1532-1770,101121149,Rheumatology,general
Clinical and experimental rheumatology,1593-098X,8308521,Rheumatology,general
Clinical rheumatology,1434-9949,8211469,Rheumatology,general
Connective tissue research,1607-8438,0365263,Rheumatology,general
Current opinion in rheumatology,1531-6963,9000851,Rheumatology,general
Current rheumatology reports,1534-6307,100888970,Rheumatology,general
Current rheumatology reviews,1875-6360,101261938,Rheumatology,general
International journal of rheumatic diseases,1756-185X,101474930,Rheumatology,general
Joint bone spine,1778-7254,100938016,Rheumatology,general
Lupus,1477-0962,9204265,Rheumatology,general
Modern rheumatology,1439-7609,100959226,Rheumatology,general
Modern rheumatology case reports,2472-5625,101761026,Rheumatology,general
Nature reviews. Rheumatology,1759-4804,101500080,Rheumatology,general
Reumatología clinica,2173-5743,101717526,Rheumatology,general
Rheumatic diseases clinics of North America,1558-3163,8708093,Rheumatology,general
Rheumatology,1462-0332,100883501,Rheumatology,general
Rheumatology international,1437-160X,8206885,Rheumatology,general
Scandinavian journal of rheumatology,1502-7732,0321213,Rheumatology,general
Seminars in arthritis and rheumatism,1532-866X,1306053,Rheumatology,general
The Journal of rheumatology,1499-2752,7501984,Rheumatology,general
The Lancet. Rheumatology,2665-9913,101765308,Rheumatology,general
Zeitschrift für Rheumatologie,1435-1250,0414162,Rheumatology,general
